Country,Continent,Year,TotalPopulation,CO2_Emission,TotalEnergy_Consumption
Spain,Europe,2004,42921895,325.79,139
Sweden,Europe,2004,8993531,53.03,53
United Kingdom,Europe,2004,59987905,543.53,222
Norway,Europe,2004,4591910,37.19,27
Turkey,Asia,2004,67010930,211.55,81
Kazakhstan,Asia,2004,15012984,150.17,51
Russia,Asia,2004,144067316,1549.7,647
Ukraine,Europe,2004,47451626,302.02,142
Uzbekistan,Asia,2004,25864350,114.66,50
Canada,North America,2004,31940655,544.68,271
United States,North America,2004,292805298,5787.86,2308
Argentina,South America,2004,38491972,147.69,67
Brazil,South America,2004,184006481,314.75,211
Chile,South America,2004,16014971,57.54,28
Colombia,South America,2004,42075953,52.84,26
Mexico,North America,2004,104514932,399.38,171
Venezuela,South America,2004,25996594,128.2,56
China,Asia,2004,1296075000,4843.11,1615
India,Asia,2004,1129623456,1034.6,499
Indonesia,Asia,2004,223285676,331.89,176
Japan,Asia,2004,127761000,1153.03,526
Malaysia,Asia,2004,25190652,149.43,60
South Korea,Asia,2004,23732731,487.68,212
Taiwan,Asia,2004,22570224,256.82,100
Thailand,Asia,2004,64995299,201.51,96
Australia,Oceania,2004,20127400,367.31,113
New Zealand,Oceania,2004,4087500,32.38,18
Algeria,Africa,2004,32692163,75.97,31
Egypt,Africa,2004,74172073,131.77,53
Nigeria,Africa,2004,135320422,55.87,99
South Africa,Africa,2004,47291610,387.07,120
Iran,Asia,2004,68951281,394.85,156
Kuwait,Asia,2004,2200492,57.81,23
Saudi Arabia,Asia,2004,23132682,293.94,120
United Arab Emirates,Asia,2004,4068570,105.46,42
Belgium,Europe,2005,10478617,112.21,58
Czech Republic,Europe,2005,10211216,119.34,45
France,Europe,2005,63179351,391.91,273
Germany,Europe,2005,82469422,803.82,338
Italy,Europe,2005,57969484,462.21,187
Netherlands,Europe,2005,16319868,188.15,80
Poland,Europe,2005,38165445,303.65,92
Portugal,Europe,2005,10503330,63.19,26
Romania,Europe,2005,21319685,93.13,39
Spain,Europe,2005,43653155,339.7,142
Sweden,Europe,2005,9029572,50.56,52
United Kingdom,Europe,2005,60401206,542.28,223
Norway,Europe,2005,4623291,36.8,27
Turkey,Asia,2005,67903469,219.43,84
Kazakhstan,Asia,2005,15147029,160.95,51
Russia,Asia,2005,143518814,1547.56,651
Ukraine,Europe,2005,47105171,311.36,141
Uzbekistan,Asia,2005,26167000,107.71,47
Canada,North America,2005,32243753,556.39,274
United States,North America,2005,295516599,5803.27,2319
Argentina,South America,2005,38892931,150.16,67
Brazil,South America,2005,186127103,318.24,216
Chile,South America,2005,16182721,58.34,28
Colombia,South America,2005,42647731,54.34,27
Mexico,North America,2005,106005203,415.56,181
Venezuela,South America,2005,26432447,138.4,55
China,Asia,2005,1303720000,5470.08,1782
India,Asia,2005,1147609927,1084.01,515
Indonesia,Asia,2005,226289470,335.65,179
Japan,Asia,2005,127773000,1152.2,524
Malaysia,Asia,2005,25690611,160.03,66
South Korea,Asia,2005,23904167,492.74,214
Taiwan,Asia,2005,22705713,264.15,102
Thailand,Asia,2005,65416189,207.75,99
Australia,Oceania,2005,20394800,372.7,113
New Zealand,Oceania,2005,4133900,33.02,17
Algeria,Africa,2005,33149724,80.32,32
Egypt,Africa,2005,75523569,149.07,62
Nigeria,Africa,2005,138865016,58.35,105
South Africa,Africa,2005,47880595,379.18,116
Iran,Asia,2005,69762347,426.97,173
Kuwait,Asia,2005,2270198,66.21,26
Saudi Arabia,Asia,2005,23816183,310.51,123
United Arab Emirates,Asia,2005,4588225,111.92,44
Belgium,Europe,2006,10547958,110.92,57
Czech Republic,Europe,2006,10238905,120.01,46
France,Europe,2006,63621381,383.06,268
Germany,Europe,2006,82376451,815,347
Italy,Europe,2006,58143979,459.02,185
Netherlands,Europe,2006,16346101,183.51,79
Poland,Europe,2006,38141267,316.75,97
Portugal,Europe,2006,10522288,57.88,25
Romania,Europe,2006,21193760,96.27,40
Spain,Europe,2006,44397319,330.72,142
Sweden,Europe,2006,9080505,50.57,50
United Kingdom,Europe,2006,60846820,543.24,219
Norway,Europe,2006,4660677,37.25,27
Turkey,Asia,2006,68756810,244.88,93
Kazakhstan,Asia,2006,15308085,181.72,61
Russia,Asia,2006,143049637,1608.77,670
Ukraine,Europe,2006,46787786,305.67,137
Uzbekistan,Asia,2006,26488250,113.5,48
Canada,North America,2006,32571174,549.18,278
United States,North America,2006,298379912,5697.77,2297
Argentina,South America,2006,39289878,160.09,73
Brazil,South America,2006,188167356,322.15,224
Chile,South America,2006,16354504,60.09,30
Colombia,South America,2006,43200901,54.19,28
Mexico,North America,2006,107560153,429.67,184
Venezuela,South America,2006,26850194,134.11,62
China,Asia,2006,1311020000,6051.71,1950
India,Asia,2006,1165486291,1156.02,533
Indonesia,Asia,2006,229318262,354.06,183
Japan,Asia,2006,127854000,1126.19,524
Malaysia,Asia,2006,26201961,167.01,66
South Korea,Asia,2006,24054864,495.86,218
Taiwan,Asia,2006,22823848,274.99,105
Thailand,Asia,2006,65812536,209.77,101
Australia,Oceania,2006,20697900,376.4,118
New Zealand,Oceania,2006,4184600,33.13,17
Algeria,Africa,2006,33641002,83.43,35
Egypt,Africa,2006,76873663,157.41,65
Nigeria,Africa,2006,142538308,53.12,106
South Africa,Africa,2006,48489464,378.9,119
Iran,Asia,2006,70554760,460.26,180
Kuwait,Asia,2006,2373672,67.99,26
Saudi Arabia,Asia,2006,24498310,329.32,136
United Arab Emirates,Asia,2006,5300174,115.85,46
Belgium,Europe,2007,10625700,107.23,56
Czech Republic,Europe,2007,10298828,122.91,46
France,Europe,2007,64016225,374.26,265
Germany,Europe,2007,82266372,785.3,329
Italy,Europe,2007,58438310,450.98,184
Netherlands,Europe,2007,16381696,184.02,79
Poland,Europe,2007,38120560,314.31,97
Portugal,Europe,2007,10542964,56.26,25
Romania,Europe,2007,20882982,93.54,40
Spain,Europe,2007,45226803,344.44,144
Sweden,Europe,2007,9148092,48.05,50
United Kingdom,Europe,2007,61322463,532.27,211
Norway,Europe,2007,4709153,37.78,28
Turkey,Asia,2007,69581848,268.37,100
Kazakhstan,Asia,2007,15484192,193.35,66
Russia,Asia,2007,142805114,1588.82,672
Ukraine,Europe,2007,46509355,315.11,139
Uzbekistan,Asia,2007,26868000,112.13,47
Canada,North America,2007,32889025,580.9,277
United States,North America,2007,301231207,5783.81,2338
Argentina,South America,2007,39684295,166.64,74
Brazil,South America,2007,190130443,337.17,236
Chile,South America,2007,16530195,65.75,31
Colombia,South America,2007,43737512,55.09,28
Mexico,North America,2007,109170502,437.06,183
Venezuela,South America,2007,27247610,130.1,58
China,Asia,2007,1317885000,6513.12,2099
India,Asia,2007,1183209472,1252.57,568
Indonesia,Asia,2007,232374245,371.8,182
Japan,Asia,2007,128001000,1163.95,518
Malaysia,Asia,2007,26720370,185.59,73
South Korea,Asia,2007,24188331,517.03,227
Taiwan,Asia,2007,22927215,278.08,110
Thailand,Asia,2007,66182067,217.56,105
Australia,Oceania,2007,20827600,386.97,122
New Zealand,Oceania,2007,4223800,32.01,17
Algeria,Africa,2007,34166972,87.43,37
Egypt,Africa,2007,78232126,169.48,70
Nigeria,Africa,2007,146339977,49.12,110
South Africa,Africa,2007,49119766,400.39,129
Iran,Asia,2007,71336475,492.56,191
Kuwait,Asia,2007,2504019,68.27,26
Saudi Arabia,Asia,2007,25184597,346.43,140
United Arab Emirates,Asia,2007,6168838,124.79,50
Belgium,Europe,2008,10709973,109.06,58
Czech Republic,Europe,2008,10384603,117.78,45
France,Europe,2008,64374984,367.71,266
Germany,Europe,2008,82110097,794.02,332
Italy,Europe,2008,58826731,439.97,182
Netherlands,Europe,2008,16445593,183.46,78
Poland,Europe,2008,38125759,311.19,98
Portugal,Europe,2008,10558177,54.31,25
Romania,Europe,2008,20537875,92.03,40
Spain,Europe,2008,45954106,315.71,139
Sweden,Europe,2008,9219637,46.13,50
United Kingdom,Europe,2008,61806995,516.26,209
Norway,Europe,2008,4768212,37.26,32
Turkey,Asia,2008,70418604,267.13,98
Kazakhstan,Asia,2008,15776938,225.18,70
Russia,Asia,2008,142742366,1603.38,688
Ukraine,Europe,2008,46258189,303.92,135
Uzbekistan,Asia,2008,27302800,117.26,49
Canada,North America,2008,33247118,559.72,271
United States,North America,2008,304093966,5602.73,2278
Argentina,South America,2008,40080160,178.13,78
Brazil,South America,2008,192030362,355.3,250
Chile,South America,2008,16708258,68.34,30
Colombia,South America,2008,44254972,55.97,30
Mexico,North America,2008,110815271,438.31,184
Venezuela,South America,2008,27635832,159.66,65
China,Asia,2008,1324655000,6706.68,2155
India,Asia,2008,1200669765,1330.57,601
Indonesia,Asia,2008,235469762,363.75,185
Japan,Asia,2008,128063000,1101.63,500
Malaysia,Asia,2008,27236006,196.07,76
South Korea,Asia,2008,24310142,530.32,232
Taiwan,Asia,2008,23019045,265.91,106
Thailand,Asia,2008,66530984,223.48,108
Australia,Oceania,2008,21249200,390.25,127
New Zealand,Oceania,2008,4259800,33.09,18
Algeria,Africa,2008,34730608,90.8,37
Egypt,Africa,2008,79636079,177.49,72
Nigeria,Africa,2008,150269623,54.05,113
South Africa,Africa,2008,49779472,432.63,139
Iran,Asia,2008,72120604,501.88,205
Kuwait,Asia,2008,2656009,72.83,29
Saudi Arabia,Asia,2008,25888541,378.28,157
United Arab Emirates,Asia,2008,7089487,146.61,59
Belgium,Europe,2009,10796493,99.54,56
Czech Republic,Europe,2009,10443936,110.05,43
France,Europe,2009,64707040,350.73,255
Germany,Europe,2009,81902307,737.64,311
Italy,Europe,2009,59095365,393.37,170
Netherlands,Europe,2009,16530388,178.14,77
Poland,Europe,2009,38151603,299.52,94
Portugal,Europe,2009,10568247,53.81,24
Romania,Europe,2009,20367487,78.15,35
Spain,Europe,2009,46362946,280.5,128
Sweden,Europe,2009,9298515,43.21,45
United Kingdom,Europe,2009,62276270,468.93,196
Norway,Europe,2009,4828726,37.33,32
Turkey,Asia,2009,71321399,266.76,98
Kazakhstan,Asia,2009,16092822,199.25,63
Russia,Asia,2009,142785349,1506.35,647
Ukraine,Europe,2009,46053331,257.46,114
Uzbekistan,Asia,2009,27767400,105.3,44
Canada,North America,2009,33628895,532.4,260
United States,North America,2009,306771529,5210.6,2165
Argentina,South America,2009,40482788,171.09,76
Brazil,South America,2009,193886508,332.81,242
Chile,South America,2009,16886186,65.77,30
Colombia,South America,2009,44750054,59.37,31
Mexico,North America,2009,112463887,429.05,180
Venezuela,South America,2009,28031009,160.75,65
China,Asia,2009,1331260000,7217.64,2297
India,Asia,2009,1217726215,1496.12,666
Indonesia,Asia,2009,238620563,377.26,198
Japan,Asia,2009,128047000,1053.47,477
Malaysia,Asia,2009,27735040,177.73,72
South Korea,Asia,2009,24428341,542.29,234
Taiwan,Asia,2009,23104546,251.68,103
Thailand,Asia,2009,66866839,218.19,108
Australia,Oceania,2009,21691700,395.71,127
New Zealand,Oceania,2009,4302600,30.33,18
Algeria,Africa,2009,35333881,96.75,41
Egypt,Africa,2009,81134798,181.85,74
Nigeria,Africa,2009,154324933,45.8,111
South Africa,Africa,2009,50477013,408.36,141
Iran,Asia,2009,72924837,521,204
Kuwait,Asia,2009,2821045,79.93,31
Saudi Arabia,Asia,2009,26630303,395.03,167
United Arab Emirates,Asia,2009,7917372,148.9,64
Belgium,Europe,2010,10895586,109.17,60
Czech Republic,Europe,2010,10474410,113.67,45
France,Europe,2010,65027507,356.58,263
Germany,Europe,2010,81776930,780.86,327
Italy,Europe,2010,59277417,401.96,174
Netherlands,Europe,2010,16615394,190.77,83
Poland,Europe,2010,38042794,318.01,101
Portugal,Europe,2010,10573100,48.47,23
Romania,Europe,2010,20246871,74.72,35
Spain,Europe,2010,46576897,266.97,128
Sweden,Europe,2010,9378126,48.48,51
United Kingdom,Europe,2010,62766365,485.18,204
Norway,Europe,2010,4889252,39.17,30
Turkey,Asia,2010,72326988,273.52,106
Kazakhstan,Asia,2010,16321872,217.14,69
Russia,Asia,2010,142849468,1609.46,688
Ukraine,Europe,2010,45870741,276.55,132
Uzbekistan,Asia,2010,28562400,102.39,42
Canada,North America,2010,34004889,548.34,261
United States,North America,2010,309321666,5445.56,2217
Argentina,South America,2010,40788453,174.55,79
Brazil,South America,2010,195713635,376.95,267
Chile,South America,2010,17062536,70.26,31
Colombia,South America,2010,45222699,60.8,31
Mexico,North America,2010,114092963,444.9,179
Venezuela,South America,2010,28439940,171.71,72
China,Asia,2010,1337705000,7799.44,2536
India,Asia,2010,1234281170,1583.12,701
Indonesia,Asia,2010,241834215,376.45,206
Japan,Asia,2010,128070000,1103.7,503
Malaysia,Asia,2010,28208035,194.79,73
South Korea,Asia,2010,24548836,593.87,256
Taiwan,Asia,2010,23187551,268.41,111
Thailand,Asia,2010,67195028,235.41,118
Australia,Oceania,2010,22031750,394.16,127
New Zealand,Oceania,2010,4350700,30.09,19
Algeria,Africa,2010,35977455,97.47,40
Egypt,Africa,2010,82761235,183.61,73
Nigeria,Africa,2010,158503197,56.44,127
South Africa,Africa,2010,51216967,428.72,132
Iran,Asia,2010,73762519,515.17,204
Kuwait,Asia,2010,2991884,78.85,32
Saudi Arabia,Asia,2010,27421461,435.08,185
United Arab Emirates,Asia,2010,8549988,155.86,61
Belgium,Europe,2011,11038264,98.75,56
Czech Republic,Europe,2011,10496088,110.1,43
France,Europe,2011,65342780,338.13,257
Germany,Europe,2011,80274983,751.89,310
Italy,Europe,2011,59379449,393.45,168
Netherlands,Europe,2011,16693074,178.49,77
Poland,Europe,2011,38063255,313.51,101
Portugal,Europe,2011,10557560,48,23
Romania,Europe,2011,20147528,81.59,36
Spain,Europe,2011,46742697,270.32,126
Sweden,Europe,2011,9449213,43.99,50
United Kingdom,Europe,2011,63258810,446.09,189
Norway,Europe,2011,4953088,38.26,27
Turkey,Asia,2011,73443863,294.28,112
Kazakhstan,Asia,2011,16557202,231.74,77
Russia,Asia,2011,142960908,1673.73,711
Ukraine,Europe,2011,45706086,290.78,126
Uzbekistan,Asia,2011,29339400,111.99,47
Canada,North America,2011,34339328,560.72,266
United States,North America,2011,311556874,5237.67,2191
Argentina,South America,2011,41261490,181.79,81
Brazil,South America,2011,197514534,396.95,271
Chile,South America,2011,17233576,76.3,34
Colombia,South America,2011,45662747,65.97,31
Mexico,North America,2011,115695473,460.77,187
Venezuela,South America,2011,28888369,145.97,67
China,Asia,2011,1344130000,8488.98,2723
India,Asia,2011,1250288729,1669.91,734
Indonesia,Asia,2011,245116206,401.14,198
Japan,Asia,2011,127833000,1160.79,466
Malaysia,Asia,2011,28650955,199.84,76
South Korea,Asia,2011,24673385,625.59,267
Taiwan,Asia,2011,23268765,268.53,109
Thailand,Asia,2011,67518382,235.02,118
Australia,Oceania,2011,22340024,392.63,128
New Zealand,Oceania,2011,4384000,29.38,19
Algeria,Africa,2011,36661444,104.7,42
Egypt,Africa,2011,84529250,189.97,76
Nigeria,Africa,2011,162805071,61.65,139
South Africa,Africa,2011,52003759,413.08,135
Iran,Asia,2011,74634956,531.21,208
Kuwait,Asia,2011,3168060,80.11,31
Saudi Arabia,Asia,2011,28267685,451.16,177
United Arab Emirates,Asia,2011,8946777,160.06,60
Belgium,Europe,2012,11106932,97.59,53
Czech Republic,Europe,2012,10510785,106.73,43
France,Europe,2012,65659809,342.91,257
Germany,Europe,2012,80425823,767.79,311
Italy,Europe,2012,59539717,374.84,162
Netherlands,Europe,2012,16754962,176.75,77
Poland,Europe,2012,38063164,307.62,98
Portugal,Europe,2012,10514844,46.5,21
Romania,Europe,2012,20058035,79.14,35
Spain,Europe,2012,46773055,265.47,126
Sweden,Europe,2012,9519374,40.63,50
United Kingdom,Europe,2012,63700215,467.77,194
Norway,Europe,2012,5018573,37.54,28
Turkey,Asia,2012,74653016,305.93,118
Kazakhstan,Asia,2012,16792090,234.16,74
Russia,Asia,2012,143201721,1653.11,728
Ukraine,Europe,2012,45593342,285.09,122
Uzbekistan,Asia,2012,29774500,115.39,48
Canada,North America,2012,34714222,562.04,269
United States,North America,2012,313830990,5048.6,2152
Argentina,South America,2012,41733271,188.69,81
Brazil,South America,2012,199287296,429.84,281
Chile,South America,2012,17400347,78.72,37
Colombia,South America,2012,46075721,65.79,32
Mexico,North America,2012,117274155,462.78,192
Venezuela,South America,2012,29362449,164.3,73
China,Asia,2012,1350695000,8749.86,2821
India,Asia,2012,1265782790,1810.46,766
Indonesia,Asia,2012,248452413,432,208
Japan,Asia,2012,127629000,1204.19,456
Malaysia,Asia,2012,29068159,203.25,78
South Korea,Asia,2012,24800612,630.84,271
Taiwan,Asia,2012,23346896,259.23,107
Thailand,Asia,2012,67835957,252.05,126
Australia,Oceania,2012,22733465,390.93,127
New Zealand,Oceania,2012,4408100,31.11,19
Algeria,Africa,2012,37383887,115.16,46
Egypt,Africa,2012,86422240,196.36,79
Nigeria,Africa,2012,167228767,63.38,140
South Africa,Africa,2012,52832659,430.04,129
Iran,Asia,2012,75539862,535.86,217
Kuwait,Asia,2012,3348853,79.77,34
Saudi Arabia,Asia,2012,29155187,481.69,199
United Arab Emirates,Asia,2012,9141596,170.55,64
Belgium,Europe,2013,11159407,98.72,56
Czech Republic,Europe,2013,10514272,102.64,43
France,Europe,2013,65998687,342.57,258
Germany,Europe,2013,80645605,788.58,318
Italy,Europe,2013,60233948,343.66,156
Netherlands,Europe,2013,16804432,175.17,75
Poland,Europe,2013,38040196,304.77,98
Portugal,Europe,2013,10457295,45.09,22
Romania,Europe,2013,19983693,69.56,32
Spain,Europe,2013,46620045,238.26,117
Sweden,Europe,2013,9600379,39.02,49
United Kingdom,Europe,2013,64128273,455.14,191
Norway,Europe,2013,5079623,37.56,29
Turkey,Asia,2013,75928564,294.91,115
Kazakhstan,Asia,2013,17035551,251.15,82
Russia,Asia,2013,143506995,1602.68,706
Ukraine,Europe,2013,45489648,273.96,116
Uzbekistan,Asia,2013,30243200,105.05,43
Canada,North America,2013,35082954,570.89,274
United States,North America,2013,315993715,5152.25,2190
Argentina,South America,2013,42202935,183.94,83
Brazil,South America,2013,201035903,461.28,294
Chile,South America,2013,17571507,82.74,38
Colombia,South America,2013,46495492,75.41,39
Mexico,North America,2013,118827161,453.01,192
Venezuela,South America,2013,29783571,152.46,69
China,Asia,2013,1357380000,9162.77,2912
India,Asia,2013,1280846129,1853.45,779
Indonesia,Asia,2013,251806402,429.54,213
Japan,Asia,2013,127445000,1210.56,457
Malaysia,Asia,2013,29468872,222.07,87
South Korea,Asia,2013,24929452,628.16,272
Taiwan,Asia,2013,23421582,262.84,108
Thailand,Asia,2013,68144501,263.88,136
Australia,Oceania,2013,23128129,384.17,127
New Zealand,Oceania,2013,4442100,31.16,19
Algeria,Africa,2013,38140132,118.17,48
Egypt,Africa,2013,88404640,195.59,77
Nigeria,Africa,2013,171765769,82.75,143
South Africa,Africa,2013,53687125,439.6,128
Iran,Asia,2013,76481943,553.84,221
Kuwait,Asia,2013,3526376,87.7,34
Saudi Arabia,Asia,2013,30052518,488.56,191
United Arab Emirates,Asia,2013,9197910,178.86,67
Belgium,Europe,2014,11209057,92.39,53
Czech Republic,Europe,2014,10525347,100.02,42
France,Europe,2014,66312067,310.74,248
Germany,Europe,2014,80982500,749.73,306
Italy,Europe,2014,60789140,328.1,147
Netherlands,Europe,2014,16865008,168.35,71
Poland,Europe,2014,38011735,291.77,95
Portugal,Europe,2014,10401062,44.18,21
Romania,Europe,2014,19908979,69.06,32
Spain,Europe,2014,46480882,235.99,115
Sweden,Europe,2014,9696110,38.86,48
United Kingdom,Europe,2014,64602298,414.54,180
Norway,Europe,2014,5137232,37.5,29
Turkey,Asia,2014,77231907,316.29,119
Kazakhstan,Asia,2014,17288285,236.33,77
Russia,Asia,2014,143819667,1584.35,707
Ukraine,Europe,2014,45272155,231.13,106
Uzbekistan,Asia,2014,30757700,105.8,43
Canada,North America,2014,35437435,574.29,281
United States,North America,2014,318301008,5193.38,2216
Argentina,South America,2014,42669500,187.36,84
Brazil,South America,2014,202763735,487.52,303
Chile,South America,2014,17758959,76.69,35
Colombia,South America,2014,46967706,78.26,39
Mexico,North America,2014,120355128,437.88,188
Venezuela,South America,2014,30045134,151.87,65
China,Asia,2014,1364270000,9091.1,2966
India,Asia,2014,1295604184,2015.31,822
Indonesia,Asia,2014,255129004,468.34,224
Japan,Asia,2014,127276000,1171.17,442
Malaysia,Asia,2014,29866559,228.9,89
South Korea,Asia,2014,25057752,624.29,277
Taiwan,Asia,2014,23491976,266.61,110
Thailand,Asia,2014,68438730,259.76,135
Australia,Oceania,2014,23475686,375.03,126
New Zealand,Oceania,2014,4516500,32.07,21
Algeria,Africa,2014,38923687,127.38,52
Egypt,Africa,2014,90424654,198.06,80
Nigeria,Africa,2014,176404902,91.34,147
South Africa,Africa,2014,54544184,452.24,136
Iran,Asia,2014,77465753,584.64,237
Kuwait,Asia,2014,3690941,83.82,32
Saudi Arabia,Asia,2014,30916994,524.27,213
United Arab Emirates,Asia,2014,9214175,178.76,74
Belgium,Europe,2015,11274196,96.99,52
Czech Republic,Europe,2015,10546059,100.9,42
France,Europe,2015,66548272,316.76,252
Germany,Europe,2015,81686611,754.54,308
Italy,Europe,2015,60730582,335.93,153
Netherlands,Europe,2015,16939923,175.5,72
Poland,Europe,2015,37986412,296,96
Portugal,Europe,2015,10358076,48.23,22
Romania,Europe,2015,19815616,69.43,32
Spain,Europe,2015,46444832,251.68,119
Sweden,Europe,2015,9799186,38.42,45
United Kingdom,Europe,2015,65116219,402.52,182
Norway,Europe,2015,5188607,37.77,29
Turkey,Asia,2015,78529409,328.99,129
Kazakhstan,Asia,2015,17542806,248.37,78
Russia,Asia,2015,144096870,1592.08,692
Ukraine,Europe,2015,45154036,191.67,93
Uzbekistan,Asia,2015,31298900,93.73,39
Canada,North America,2015,35702908,577.6,282
United States,North America,2015,320635163,5046.88,2193
Argentina,South America,2015,43131966,193.2,86
Brazil,South America,2015,204471769,463.02,297
Chile,South America,2015,17969353,81.49,36
Colombia,South America,2015,47520667,78.05,39
Mexico,North America,2015,121858258,445.43,185
Venezuela,South America,2015,30081829,140.78,60
China,Asia,2015,1371220000,9082.73,2994
India,Asia,2015,1310152403,2026.26,835
Indonesia,Asia,2015,258383256,470.35,225
Japan,Asia,2015,127141000,1135.36,434
Malaysia,Asia,2015,30270962,228.53,85
South Korea,Asia,2015,25183833,638.43,283
Taiwan,Asia,2015,23557477,267.07,109
Thailand,Asia,2015,68714511,263.78,135
Australia,Oceania,2015,23815995,381.05,127
New Zealand,Oceania,2015,4609400,31.68,21
Algeria,Africa,2015,39728025,135.38,54
Egypt,Africa,2015,92442547,205.1,79
Nigeria,Africa,2015,181137448,85.01,145
South Africa,Africa,2015,55386369,426.61,127
Iran,Asia,2015,78492215,579.02,237
Kuwait,Asia,2015,3835591,93.25,35
Saudi Arabia,Asia,2015,31717667,550.71,222
United Arab Emirates,Asia,2015,9262900,188.98,78
Belgium,Europe,2016,11331422,95.85,56
Czech Republic,Europe,2016,10566332,102.33,41
France,Europe,2016,66724104,317.77,247
Germany,Europe,2016,82348669,758.9,310
Italy,Europe,2016,60627498,333.02,151
Netherlands,Europe,2016,17030314,175.6,74
Poland,Europe,2016,37970087,306.61,100
Portugal,Europe,2016,10325452,47.59,22
Romania,Europe,2016,19702267,67.9,32
Spain,Europe,2016,46484062,242.64,120
Sweden,Europe,2016,9923085,39.8,49
United Kingdom,Europe,2016,65611593,379.8,179
Norway,Europe,2016,5234519,36.9,28
Turkey,Asia,2016,79821724,349.26,137
Kazakhstan,Asia,2016,17794055,260.85,82
Russia,Asia,2016,144342397,1571.54,714
Ukraine,Europe,2016,45004673,192.25,91
Uzbekistan,Asia,2016,31847900,82.72,34
Canada,North America,2016,36109487,567,283
United States,North America,2016,322941311,4954.17,2169
Argentina,South America,2016,43590368,193.6,86
Brazil,South America,2016,206163058,429.17,286
Chile,South America,2016,18209068,86.12,38
Colombia,South America,2016,48175048,88.2,41
Mexico,North America,2016,123333376,448.66,185
Venezuela,South America,2016,29846179,127.57,56
China,Asia,2016,1378665000,9040.24,2977
India,Asia,2016,1324509589,2050.27,853
Indonesia,Asia,2016,261554226,466.1,230
Japan,Asia,2016,126994511,1127.15,429
Malaysia,Asia,2016,30684804,227.54,88
South Korea,Asia,2016,25307744,655.9,293
Taiwan,Asia,2016,23618200,272.18,110
Thailand,Asia,2016,68971331,260.13,139
Australia,Oceania,2016,24190907,389.91,128
New Zealand,Oceania,2016,4714100,31.23,21
Algeria,Africa,2016,40551404,133.16,54
Egypt,Africa,2016,94447072,211.14,86
Nigeria,Africa,2016,185960289,87.03,150
South Africa,Africa,2016,56207649,428.39,130
Iran,Asia,2016,79564016,582.32,245
Kuwait,Asia,2016,3956875,94.76,36
Saudi Arabia,Asia,2016,32442572,546.26,210
United Arab Emirates,Asia,2016,9360980,194.59,79
Belgium,Europe,2017,11375158,95.12,55
Czech Republic,Europe,2017,10594438,103.83,43
France,Europe,2017,66864379,322.63,247
Germany,Europe,2017,82657002,745.51,311
Italy,Europe,2017,60536709,329.19,154
Netherlands,Europe,2017,17131296,173.57,74
Poland,Europe,2017,37974826,319.48,104
Portugal,Europe,2017,10300300,51.95,23
Romania,Europe,2017,19587290,71.08,33
Spain,Europe,2017,46593236,257.83,126
Sweden,Europe,2017,10057698,39.69,49
United Kingdom,Europe,2017,66058859,365.59,176
Norway,Europe,2017,5276968,36.92,29
Turkey,Asia,2017,81101892,386.58,147
Kazakhstan,Asia,2017,18037776,257.8,85
Russia,Asia,2017,144496739,1614.43,732
Ukraine,Europe,2017,44831135,176.67,89
Uzbekistan,Asia,2017,32388600,82.51,34
Canada,North America,2017,36545295,564.67,290
United States,North America,2017,324985539,4890.66,2161
Argentina,South America,2017,44044811,186.49,85
Brazil,South America,2017,207833831,437.31,291
Chile,South America,2017,18470439,86.93,38
Colombia,South America,2017,48909844,75.77,38
Mexico,North America,2017,124777324,448.09,180
Venezuela,South America,2017,29390409,113.89,50
China,Asia,2017,1386395000,9200.41,3069
India,Asia,2017,1338658835,2157.84,882
Indonesia,Asia,2017,264645886,506.61,244
Japan,Asia,2017,126785797,1111.96,434
Malaysia,Asia,2017,31105028,228.23,85
South Korea,Asia,2017,25429985,665.34,295
Taiwan,Asia,2017,23674546,284.09,110
Thailand,Asia,2017,69209858,260.19,138
Australia,Oceania,2017,24601860,392.27,127
New Zealand,Oceania,2017,4813600,32.74,21
Algeria,Africa,2017,41389198,134.65,56
Egypt,Africa,2017,96442593,217.15,93
Nigeria,Africa,2017,190873311,88.14,157
South Africa,Africa,2017,57009751,430.18,132
Iran,Asia,2017,80673951,602.1,262
Kuwait,Asia,2017,4056099,90.93,34
Saudi Arabia,Asia,2017,33099147,551.46,211
United Arab Emirates,Asia,2017,9487203,199.05,68
Belgium,Europe,2018,11427054,97.62,53
Czech Republic,Europe,2018,10629928,102.72,43
France,Europe,2018,66965912,309.11,246
Germany,Europe,2018,82905782,719.48,302
Italy,Europe,2018,60421760,323.54,151
Netherlands,Europe,2018,17231624,167.06,73
Poland,Europe,2018,37974750,322.67,106
Portugal,Europe,2018,10283822,49.54,22
Romania,Europe,2018,19472545,71.1,34
Spain,Europe,2018,46797754,254.77,126
Sweden,Europe,2018,10175214,39.46,49
United Kingdom,Europe,2018,66460344,362.09,175
Norway,Europe,2018,5311916,39.48,28
Turkey,Asia,2018,82319724,387.66,145
Kazakhstan,Asia,2018,18276452,269.43,90
Russia,Asia,2018,144477859,1725.37,766
Ukraine,Europe,2018,44622518,185.04,93
Uzbekistan,Asia,2018,32956100,87.32,36
Canada,North America,2018,37065178,572.39,298
United States,North America,2018,326687501,5041.53,2235
Argentina,South America,2018,44494502,172.96,84
Brazil,South America,2018,209469333,413.17,287
Chile,South America,2018,18729160,87.07,39
